code,latitude,longitude,name
AU,-25.274398,133.775136,Australia
BR,-14.235004,-51.92528,Brazil
CA,56.130366,-106.346771,Canada
CH,46.818188,8.227512,Switzerland
CN,35.86166,104.195397,China
DE,51.165691,10.451526,Germany
DK,56.26392,9.501785,Denmark
HK,22.396428,114.109497,"Hong Kong"
IN,20.593684,78.96288,India
JP,36.204824,138.252924,Japan
KR,35.907757,127.766922,"South Korea"
SE,60.128161,18.643501,Sweden
SG,1.352083,103.819836,Singapore
TR,38.963745,35.243322,Turkey
TW,23.69781,120.960515,Taiwan
UK,55.378051,-3.435973,"United Kingdom"
